pid,n_scs_total,n_scs_strong,n_branches,S,K,merger_richness,C_fourier,n_sign_changes,phase
0,77,5,2,0.4333988732907457,0.9333988732907457,2,3.3113009082321123,1,StrongMerger
1,0,0,2,0.18920898053816695,0.18920898053816695,0,7.453800848619352,1,Trivial
2,108,3,3,0.9840865030829146,1.2840865030829147,2,3.6668665194856906,2,StrongMerger
3,0,0,3,1.0861979723945263,1.0861979723945263,0,1.3691366007684045,2,Trivial
4,213,10,1,0.0,1.0,0,7.51150727126335,0,Fragmented
5,170,6,2,0.4333988732907457,1.0333988732907458,2,1.0527050854738098,1,StrongMerger
6,0,0,2,0.34520662539160074,0.34520662539160074,0,2.1566678387671088,1,Trivial
7,24,3,2,0.34520662539160074,0.6452066253916008,2,7.124351947087752,1,StrongMerger
8,30,2,3,0.8487117579658698,1.0487117579658698,2,2.3701360482866716,2,StrongMerger
9,3,3,2,0.5941300227248385,0.8941300227248385,2,0.9396746359563724,1,StrongMerger
10,58,4,2,0.6808899872666533,1.0808899872666533,2,3.5192632231354644,1,StrongMerger
11,101,8,1,0.0,0.8,0,2.623096202916876,0,Fragmented
12,0,0,1,0.0,0.0,0,2.21677566391878,0,Trivial
13,126,8,2,0.18920898053816695,0.989208980538167,2,3.041599434539009,1,StrongMerger
14,144,5,4,1.1132160014658368,1.6132160014658368,2,0.822773509071519,3,StrongMerger
15,77,2,3,0.8743450392352181,1.074345039235218,2,0.37485389854432777,2,StrongMerger
16,92,4,3,1.0066670009137897,1.4066670009137896,2,0.675053177608099,2,StrongMerger
17,213,11,2,0.08048483706800685,1.180484837068007,2,5.584704579706878,1,StrongMerger
18,25,0,3,0.9810398994243299,0.9810398994243299,0,0.35578263345078304,2,Trivial
19,28,5,3,0.9806428695122922,1.4806428695122922,2,0.9787341618609254,2,StrongMerger
20,22,3,2,0.5047041940481001,0.8047041940481001,2,3.048552564771016,1,StrongMerger
21,25,0,3,0.930645552649247,0.930645552649247,0,1.132780267734924,2,Trivial
22,110,2,1,0.0,0.2,0,2.196196522659483,0,Fragmented
23,0,0,2,0.48257756517701206,0.48257756517701206,0,0.3299441317742323,1,Trivial
24,0,0,2,0.34520662539160074,0.34520662539160074,0,0.7429246971843155,1,Trivial
25,0,0,5,1.3163526289572056,1.3163526289572056,0,0.2845187505716625,4,Trivial
26,19,3,3,0.5919104328777565,0.8919104328777565,2,1.640069050127069,2,StrongMerger
27,0,0,1,0.0,0.0,0,13.280469260722251,0,Trivial
28,0,0,3,0.21904558217698628,0.21904558217698628,0,2.594321882314101,2,Trivial
29,0,0,2,0.6690268361602776,0.6690268361602776,0,0.9713409367040897,1,Trivial
30,134,7,4,1.323238502140029,2.023238502140029,2,0.747629144120225,3,StrongMerger
31,0,0,2,0.27416591535017265,0.27416591535017265,0,3.5125386197359534,1,Trivial
32,0,0,3,0.7792923924776639,0.7792923924776639,0,2.3896963626652528,2,Trivial
33,3,3,4,0.9004983699311657,1.2004983699311658,2,0.6471843214031806,3,StrongMerger
34,60,3,2,0.48257756517701206,0.7825775651770122,2,0.46347545178539246,1,StrongMerger
35,14,2,4,1.0983992705009928,1.2983992705009928,2,0.9874103144303729,3,StrongMerger
36,26,3,3,0.9344359631484513,1.2344359631484514,2,3.6297890338359324,2,StrongMerger
37,18,1,3,0.8064769418829218,0.9064769418829218,2,1.299266803269523,2,StrongMerger
38,3,1,2,0.6081931982998787,0.7081931982998787,2,2.433000041227937,1,StrongMerger
39,0,0,1,0.0,0.0,0,5.508551376494293,0,Trivial
40,0,0,2,0.5623351446188083,0.5623351446188083,0,1.0763650346980915,1,Trivial
41,0,0,3,0.9121020565291684,0.9121020565291684,0,0.47633264941398296,2,Trivial
42,130,4,2,0.6615632381579821,1.0615632381579823,2,0.7478293548109411,1,StrongMerger
43,0,0,2,0.5941300227248385,0.5941300227248385,0,0.6178608639651684,1,Trivial
44,156,1,2,0.6853142072764582,0.7853142072764582,1,1.1445919668942182,1,WeakMerger
45,0,0,2,0.6754645824509031,0.6754645824509031,0,2.429474281748509,1,Trivial
46,0,0,1,0.0,0.0,0,0.9784540653374999,0,Trivial
47,0,0,2,0.6530577442776866,0.6530577442776866,0,0.6810759277561493,1,Trivial
48,0,0,3,0.9018177312797546,0.9018177312797546,0,0.7903969370684316,2,Trivial
49,126,10,2,0.3111291548118492,1.3111291548118493,2,2.7802606520455493,1,StrongMerger
50,0,0,2,0.6081931982998787,0.6081931982998787,0,3.744996427134237,1,Trivial
51,0,0,2,0.27416591535017265,0.27416591535017265,0,4.415513346479309,1,Trivial
52,35,3,3,0.9806428695122922,1.2806428695122922,2,1.0745897185462416,2,StrongMerger
53,0,0,2,0.6615632381579821,0.6615632381579821,0,0.9485567170026511,1,Trivial
54,0,0,3,0.9369681643838608,0.9369681643838608,0,0.21492289260443193,2,Trivial
55,131,6,1,0.0,0.6000000000000001,0,3.7380228899869845,0,Fragmented
56,157,8,1,0.0,0.8,0,5.660210096107398,0,Fragmented
57,0,0,2,0.6434915530192904,0.6434915530192904,0,0.5331882386267643,1,Trivial
58,29,3,4,1.093459198866307,1.393459198866307,2,0.9676300472524513,3,StrongMerger
59,0,0,3,1.0451585395897047,1.0451585395897047,0,0.3149815027092536,2,Trivial
60,2,1,3,1.0383738574671824,1.1383738574671824,2,0.40122000360058996,2,StrongMerger
61,0,0,4,1.1900850761556683,1.1900850761556683,0,0.15119160492010833,3,Trivial
62,0,0,3,1.0016277261245379,1.0016277261245379,0,0.6072643239020135,2,Trivial
63,0,0,2,0.48257756517701206,0.48257756517701206,0,2.235543455468576,1,Trivial
64,0,0,3,1.0662173875546272,1.0662173875546272,0,1.4241633906237614,2,Trivial
65,141,3,1,0.0,0.30000000000000004,0,3.249473538143995,0,Fragmented
66,58,5,1,0.0,0.5,0,2.5432542331138848,0,Fragmented
67,93,4,3,0.8305236914828464,1.2305236914828463,2,1.9805247945540818,2,StrongMerger
68,5,4,3,0.9810398994243299,1.38103989942433,2,1.7735503334670277,2,StrongMerger
69,21,3,4,1.1657904029778243,1.4657904029778244,2,1.0227190975482825,3,StrongMerger
70,39,5,1,0.0,0.5,0,1.8895724987399842,0,Fragmented
71,0,0,2,0.08048483706800685,0.08048483706800685,0,2.280852418305926,1,Trivial
72,10,3,2,0.3111291548118492,0.6111291548118493,2,3.1110753217304237,1,StrongMerger
73,15,4,6,1.705546983452387,2.105546983452387,2,0.17491227656310768,5,StrongMerger
74,35,4,4,1.248690003407575,1.6486900034075749,2,0.5254114420282173,3,StrongMerger
75,144,6,2,0.6887461892700277,1.2887461892700278,2,1.447948311126812,1,StrongMerger
76,88,4,2,0.6210863745552451,1.021086374555245,2,2.646614829110487,1,StrongMerger
77,215,11,1,0.0,1.1,0,7.621293064885564,0,Fragmented
78,0,0,1,0.0,0.0,0,7.751372746461232,0,Trivial
79,0,0,1,0.0,0.0,0,1.1941476288825967,0,Trivial
80,103,5,4,1.373113289509507,1.873113289509507,2,0.3015974738293022,3,StrongMerger
81,7,0,2,0.4333988732907457,0.4333988732907457,0,1.0597532546431156,1,Trivial
82,0,0,4,0.9323427896909693,0.9323427896909693,0,0.9508090114889658,3,Trivial
83,0,0,2,0.6530577442776866,0.6530577442776866,0,0.3979433657821244,1,Trivial
84,0,0,1,0.0,0.0,0,4.1396260901175,0,Trivial
85,23,2,2,0.18920898053816695,0.389208980538167,2,0.7026805599011484,1,StrongMerger
86,110,3,2,0.6434915530192904,0.9434915530192904,2,1.441208035618252,1,StrongMerger
87,0,0,1,0.0,0.0,0,3.4883820889770574,0,Trivial
88,73,2,1,0.0,0.2,0,3.36794494707171,0,Fragmented
89,2,1,4,1.0103035751006315,1.1103035751006316,2,5.28519552480548,3,StrongMerger
90,119,4,3,0.8578595336926983,1.2578595336926983,2,0.5880482448100439,2,StrongMerger
91,0,0,3,0.7376788886486527,0.7376788886486527,0,5.18343457596191,2,Trivial
92,70,3,5,1.5238698246584423,1.8238698246584424,2,1.395175308855057,4,StrongMerger
93,83,1,2,0.5788586438389152,0.6788586438389151,2,0.5642279489610066,1,StrongMerger
94,112,2,2,0.5623351446188083,0.7623351446188082,1,0.7939664317009935,1,WeakMerger
95,118,3,2,0.6808899872666533,0.9808899872666533,2,0.8851657732548612,1,StrongMerger
96,0,0,2,0.5623351446188083,0.5623351446188083,0,3.9658944550462967,1,Trivial
97,0,0,2,0.2337916587064593,0.2337916587064593,0,1.808699046608711,1,Trivial
98,11,4,2,0.5253213195155949,0.9253213195155949,2,2.824921974336378,1,StrongMerger
99,0,0,1,0.0,0.0,0,1.7722364062043539,0,Trivial
100,0,0,3,0.6099263025504231,0.6099263025504231,0,3.552505617333084,2,Trivial
101,237,7,2,0.6210863745552451,1.3210863745552452,2,2.7872377135126993,1,StrongMerger
102,40,5,5,1.4051969362611247,1.9051969362611247,2,0.5790617393738954,4,StrongMerger
103,56,3,2,0.45884684243710105,0.7588468424371011,2,1.7642862681609242,1,StrongMerger
104,9,2,4,1.1440185964264107,1.3440185964264106,2,0.705244233667147,3,StrongMerger
105,0,0,2,0.37677016125643675,0.37677016125643675,0,5.097992276253379,1,Trivial
106,114,5,2,0.6911927820032008,1.191192782003201,2,0.8208106515945969,1,StrongMerger
107,0,0,4,1.1731083867553787,1.1731083867553787,0,0.3102112847229173,3,Trivial
108,50,3,2,0.40609642111261135,0.7060964211126114,2,2.3761039715685195,1,StrongMerger
109,8,1,1,0.0,0.1,0,5.28538104603367,0,Fragmented
110,0,0,4,1.1645049461449821,1.1645049461449821,0,0.5878048853368361,3,Trivial
